Date,Open,High,Low,Close,Adj Close,Volume (in Exp),day ,month,year,Volume
19-08-2004,2.502502918,2.604104042,2.401401043,2.511010885,2.501940966,893181924,19,8,2004,893181924
20-08-2004,2.52777791,2.729729891,2.515014887,2.710459948,2.700669765,456686856,20,8,2004,456686856
23-08-2004,2.771522045,2.839839935,2.728979111,2.737737894,2.727849245,365122512,23,8,2004,365122512
24-08-2004,2.783783913,2.792793036,2.591841936,2.624373913,2.614894629,304946748,24,8,2004,304946748
25-08-2004,2.626626968,2.702702999,2.599600077,2.652652979,2.643071651,183772044,25,8,2004,183772044
26-08-2004,2.626375914,2.701451063,2.619118929,2.700449944,2.690696001,141897960,26,8,2004,141897960
27-08-2004,2.705204964,2.718218088,2.644895077,2.656405926,2.646811008,124235640,27,8,2004,124235640
30-08-2004,2.634634972,2.639889956,2.55280304,2.55280304,2.543582439,103935960,30,8,2004,103935960
31-08-2004,2.560060024,2.59534502,2.55655694,2.561811924,2.552558422,98357544,31,8,2004,98357544
01-09-2004,2.570070028,2.576827049,2.494244099,2.508759022,2.499697447,182765052,1,9,2004,182765052
02-09-2004,2.482232094,2.561811924,2.47597599,2.540290117,2.531114817,302373324,2,9,2004,302373324
03-09-2004,2.526276112,2.546046019,2.485485077,2.502753019,2.49371314,103048848,3,9,2004,103048848
07-09-2004,2.52777791,2.552552938,2.492743015,2.542042017,2.532860041,116950932,7,9,2004,116950932
08-09-2004,2.521020889,2.578327894,2.515014887,2.560060024,2.550813198,99712188,8,9,2004,99712188
09-09-2004,2.565815926,2.570319891,2.527528048,2.560309887,2.551062107,81234684,9,9,2004,81234684
10-09-2004,2.542542934,2.666666985,2.535034895,2.635885954,2.626365423,173977848,10,9,2004,173977848
13-09-2004,2.668417931,2.712963104,2.664164066,2.690190077,2.680473089,156882960,13,9,2004,156882960
14-09-2004,2.688939095,2.80280304,2.672421932,2.790040016,2.77996254,216579204,14,9,2004,216579204
15-09-2004,2.766767025,2.858608961,2.757757902,2.80280304,2.79267931,214261524,15,9,2004,214261524
16-09-2004,2.811311007,2.897897959,2.794044018,2.852102041,2.841800451,185326488,16,9,2004,185326488
17-09-2004,2.863363028,2.940190077,2.841592073,2.940190077,2.929570198,189450360,17,9,2004,189450360
20-09-2004,2.926676989,3.043042898,2.92217207,2.986987114,2.976198196,212575212,20,9,2004,212575212
21-09-2004,2.9982481,3.013514042,2.940690994,2.948949099,2.938297749,144575280,21,9,2004,144575280
22-09-2004,2.937937975,2.994745016,2.923172951,2.962461948,2.951761723,151624224,22,9,2004,151624224
23-09-2004,2.973973989,3.068819046,2.928427935,3.023524046,3.012603283,170713116,23,9,2004,170713116
24-09-2004,3.026526928,3.105606079,2.996997118,2.998749018,2.987917662,182469348,24,9,2004,182469348
27-09-2004,2.991991997,3.025024891,2.947947979,2.959459066,2.948769331,141322536,27,9,2004,141322536
28-09-2004,3.035536051,3.188188076,3.008258104,3.174674988,3.163208246,338581080,28,9,2004,338581080
29-09-2004,3.170670986,3.37887907,3.158909082,3.280280113,3.268431902,610329060,29,9,2004,610329060
30-09-2004,3.250751019,3.310811043,3.228228092,3.243242979,3.231528759,275160564,30,9,2004,275160564
01-10-2004,3.273272991,3.359359026,3.225725889,3.317817926,3.305833817,302497200,1,10,2004,302497200
04-10-2004,3.384634972,3.425174952,3.354104042,3.379879951,3.367671967,260455284,4,10,2004,260455284
05-10-2004,3.369869947,3.466717005,3.309309006,3.462713003,3.450205564,299464236,5,10,2004,299464236
